algorithm,epoch,episode_reward_mean,episode_length_mean,policy_loss,value_loss,entropy,learning_rate,timestamp
SAC,1000,-245.32,1000,0.0823,0.1245,1.823,0.0003,2024-11-15T10:23:45
SAC,2000,-128.45,1000,0.0612,0.0987,1.654,0.0003,2024-11-15T10:45:12
SAC,5000,45.67,1000,0.0423,0.0654,1.432,0.0003,2024-11-15T11:32:08
SAC,10000,156.23,1000,0.0312,0.0456,1.287,0.0003,2024-11-15T12:45:33
SAC,20000,234.56,1000,0.0234,0.0345,1.156,0.0003,2024-11-15T14:12:45
SAC,50000,312.45,1000,0.0187,0.0278,1.023,0.0003,2024-11-15T17:34:21
SAC,100000,378.92,1000,0.0156,0.0234,0.945,0.0003,2024-11-15T22:15:43
PPO,1000,-312.45,1000,0.1234,0.1567,1.956,0.0003,2024-11-16T09:12:34
PPO,2000,-198.23,1000,0.0987,0.1234,1.823,0.0003,2024-11-16T09:45:23
PPO,5000,-45.67,1000,0.0756,0.0987,1.654,0.0003,2024-11-16T10:56:12
PPO,10000,89.34,1000,0.0567,0.0756,1.489,0.0003,2024-11-16T12:34:56
PPO,20000,178.45,1000,0.0423,0.0567,1.345,0.0003,2024-11-16T15:23:45
PPO,50000,267.89,1000,0.0312,0.0423,1.198,0.0003,2024-11-16T20:45:12
PPO,100000,345.67,1000,0.0234,0.0312,1.067,0.0003,2024-11-17T03:12:34
TD3,1000,-198.45,1000,0.0956,0.1123,0.0,0.0003,2024-11-18T10:15:23
TD3,2000,-87.23,1000,0.0712,0.0856,0.0,0.0003,2024-11-18T10:34:45
TD3,5000,67.89,1000,0.0512,0.0634,0.0,0.0003,2024-11-18T11:23:12
TD3,10000,189.34,1000,0.0378,0.0489,0.0,0.0003,2024-11-18T12:15:34
TD3,20000,278.56,1000,0.0267,0.0356,0.0,0.0003,2024-11-18T13:45:23
TD3,50000,356.78,1000,0.0189,0.0267,0.0,0.0003,2024-11-18T16:23:45
TD3,100000,412.34,1000,0.0145,0.0198,0.0,0.0003,2024-11-18T19:45:12
DDPG,1000,-345.67,1000,0.1345,0.1567,0.0,0.0003,2024-11-19T10:12:34
DDPG,2000,-234.56,1000,0.1123,0.1345,0.0,0.0003,2024-11-19T10:34:56
DDPG,5000,-123.45,1000,0.0912,0.1123,0.0,0.0003,2024-11-19T11:23:45
DDPG,10000,-12.34,1000,0.0756,0.0912,0.0,0.0003,2024-11-19T12:15:23
DDPG,20000,78.45,1000,0.0623,0.0756,0.0,0.0003,2024-11-19T13:45:12
DDPG,50000,156.78,1000,0.0512,0.0623,0.0,0.0003,2024-11-19T16:34:56
DDPG,100000,234.56,1000,0.0423,0.0512,0.0,0.0003,2024-11-19T19:56:34
